parent_symbol,child_symbol,beta,PIP,LFSR
AKAP8,AIRE,0.00406018622836096,0.0,0.0
ARID5A,AIRE,-0.00317982823807149,0.0,0.3265
ATMIN,AIRE,-0.00432360194283488,0.0,0.312
ATXN7L3,AIRE,0.0137325717091655,0.0,0.0
BACH2,AIRE,0.00251664620657682,0.0,0.3125
BCL11B,AIRE,0.00912799133499288,0.0,0.0
BPTF,AIRE,0.00141786307834826,0.0,0.312
CBFB,AIRE,0.025066618694209,0.0,0.0
CLOCK,AIRE,-0.00138966117285836,0.0,0.3265
DR1,AIRE,0.0185424271621457,0.0,0.0
EGR3,AIRE,-0.000995983911316223,0.0,0.364
ELK4,AIRE,0.00303316944897917,0.0,0.0
EPAS1,AIRE,-0.000151296845314462,0.0,0.361
ETS1,AIRE,-0.027106992202039,0.0,0.0
FOXK1,AIRE,-0.0130139130147666,0.0,0.0
FOXP1,AIRE,-0.00751497652587909,0.0,0.0
FOXP3,AIRE,-0.00610994037708028,0.0,0.003
GATA3,AIRE,0.00488869361023118,0.0,0.0
GFI1,AIRE,0.00146595228661944,0.0,0.0495
HIVEP2,AIRE,-0.000178811075230321,0.0,0.358
HIVEP3,AIRE,-0.00977383531514519,0.0,0.0
IKZF1,AIRE,-0.0033410884159981,0.0,0.046
IL2RA,AIRE,-0.00298113503385159,0.0,0.0
IRF1,AIRE,-0.00372114585989372,0.0,0.0
IRF2,AIRE,-0.0102421402366229,0.0,0.0
IRF3,AIRE,-0.00719100725945632,0.0,0.0
IRF4,AIRE,0.0361645591182257,0.0,0.0
IRF7,AIRE,-4.3860973944841e-05,0.0,0.3235
IRF8,AIRE,-0.00430722044961009,0.0,0.0
IRF9,AIRE,0.00624921171776915,0.0,0.0
JAK3,AIRE,0.00373098891061116,0.0,0.0
KLF2,AIRE,0.0718300878728711,1.0,0.0
KLF9,AIRE,-0.00278385670913374,0.0,0.315
KMT2A,AIRE,-0.0324679564177023,0.0,0.0
LCOR,AIRE,0.0010348326930012,0.0,0.315
MBD2,AIRE,-0.0509899212597201,1.0,0.0
MED12,AIRE,0.0331965311784345,0.0,0.0
MYB,AIRE,0.0335757933762827,0.0,0.0
MYSM1,AIRE,-0.00267952947354294,0.0,0.315
NFAT5,AIRE,-0.0122413233764821,0.0,0.0
NFE2L2,AIRE,-0.0054344103986866,0.0,0.0
NFE2L3,AIRE,0.00915468452421053,0.0,0.0
NFKB1,AIRE,-0.00373540083056686,0.0,0.0
NFKB2,AIRE,0.00953984247742528,0.0,0.0
POU2F1,AIRE,0.00610371883696903,0.0,0.0
PTEN,AIRE,0.0238282311146663,0.0,0.0
RBCK1,AIRE,-0.00323426657819461,0.0,0.0465
REL,AIRE,-0.00144351352459536,0.0,0.0
RELA,AIRE,-0.00567590645308378,0.0,0.312
RELB,AIRE,0.00538043279463612,0.0,0.0
RFX5,AIRE,0.00466657199558319,0.0,0.046
RORC,AIRE,-0.003390212333269,0.0,0.003
