donor,label,n_same,same_med,diff_med,delta,test
CE0006864,specific,21298.0,0.013350396592079886,-0.0030239843239410016,0.01637438091602089,G-D.1
CE0008162,specific,15575.0,0.012727955695572207,0.0011173579159951227,0.011610597779577084,G-D.1
CE0008678,specific,9446.0,0.011302629394087223,-0.006638792013559814,0.017941421407647037,G-D.1
CE0010866,specific,11017.0,0.012406218973701411,0.0002192306257781507,0.01218698834792326,G-D.1
CE0006864,composition_corrected,21298.0,0.012713769389224295,-0.009591628997312326,0.02230539838653662,G-D.1
CE0008162,composition_corrected,15575.0,0.012285694548450937,-0.002259528147356422,0.01454522269580736,G-D.1
CE0008678,composition_corrected,9446.0,0.010723559982883761,-0.006566010836038679,0.01728957081892244,G-D.1
CE0010866,composition_corrected,11017.0,0.012946910037850626,-0.008907741138429832,0.021854651176280458,G-D.1
,perm_p,,0.0,0.0,,G-D.1
,testB_covar,,-0.08120209485225553,-0.5553380937900634,-0.5569942068690833,G-D.1
perm=0.024,medians,22233.0,0.015661787989600447,0.033891434348756355,0.009028984275613966,G-D.2
