reg_sym,tgt_sym,reg_ens,tgt_ens,sign,src
CBFB,AIRE,ENSG00000067955,ENSG00000160224,1,weinstock
ETS1,AIRE,ENSG00000134954,ENSG00000160224,-1,weinstock
IRF4,AIRE,ENSG00000137265,ENSG00000160224,1,weinstock
KLF2,AIRE,ENSG00000127528,ENSG00000160224,1,weinstock
KMT2A,AIRE,ENSG00000118058,ENSG00000160224,-1,weinstock
MBD2,AIRE,ENSG00000134046,ENSG00000160224,-1,weinstock
MED12,AIRE,ENSG00000184634,ENSG00000160224,1,weinstock
MYB,AIRE,ENSG00000118513,ENSG00000160224,1,weinstock
CBFB,ARID5A,ENSG00000067955,ENSG00000196843,-1,weinstock
IRF4,ARID5A,ENSG00000137265,ENSG00000196843,-1,weinstock
KMT2A,ARID5A,ENSG00000118058,ENSG00000196843,1,weinstock
MED12,ARID5A,ENSG00000184634,ENSG00000196843,-1,weinstock
NFKB2,ARID5A,ENSG00000077150,ENSG00000196843,-1,weinstock
PTEN,ARID5A,ENSG00000171862,ENSG00000196843,1,weinstock
TBX21,ARID5A,ENSG00000073861,ENSG00000196843,-1,weinstock
TNFAIP3,ARID5A,ENSG00000118503,ENSG00000196843,-1,weinstock
YBX1,ARID5A,ENSG00000065978,ENSG00000196843,-1,weinstock
IRF4,BACH2,ENSG00000137265,ENSG00000112182,-1,weinstock
ATXN7L3,BCL11B,ENSG00000087152,ENSG00000127152,1,weinstock
STAT1,EGR3,ENSG00000115415,ENSG00000179388,-1,weinstock
CBFB,EPAS1,ENSG00000067955,ENSG00000116016,-1,weinstock
TNFAIP3,EPAS1,ENSG00000118503,ENSG00000116016,-1,weinstock
IRF4,FOXP1,ENSG00000137265,ENSG00000114861,-1,weinstock
KLF2,FOXP1,ENSG00000127528,ENSG00000114861,1,weinstock
MYB,FOXP1,ENSG00000118513,ENSG00000114861,-1,weinstock
NFKB2,FOXP1,ENSG00000077150,ENSG00000114861,1,weinstock
TNFAIP3,FOXP1,ENSG00000118503,ENSG00000114861,1,weinstock
CBFB,FOXP3,ENSG00000067955,ENSG00000049768,1,weinstock
ETS1,FOXP3,ENSG00000134954,ENSG00000049768,-1,weinstock
MBD2,FOXP3,ENSG00000134046,ENSG00000049768,-1,weinstock
MED12,FOXP3,ENSG00000184634,ENSG00000049768,1,weinstock
MYB,FOXP3,ENSG00000118513,ENSG00000049768,-1,weinstock
MED12,GATA3,ENSG00000184634,ENSG00000107485,1,weinstock
TNFAIP3,GATA3,ENSG00000118503,ENSG00000107485,-1,weinstock
KLF2,GFI1,ENSG00000127528,ENSG00000162676,-1,weinstock
MYB,GFI1,ENSG00000118513,ENSG00000162676,-1,weinstock
ETS1,HIVEP3,ENSG00000134954,ENSG00000127124,-1,weinstock
IRF4,HIVEP3,ENSG00000137265,ENSG00000127124,1,weinstock
KLF2,HIVEP3,ENSG00000127528,ENSG00000127124,1,weinstock
KMT2A,HIVEP3,ENSG00000118058,ENSG00000127124,-1,weinstock
MED12,HIVEP3,ENSG00000184634,ENSG00000127124,1,weinstock
STAT5B,HIVEP3,ENSG00000173757,ENSG00000127124,-1,weinstock
ATXN7L3,IL2RA,ENSG00000087152,ENSG00000134460,-1,weinstock
CBFB,IL2RA,ENSG00000067955,ENSG00000134460,-1,weinstock
ETS1,IL2RA,ENSG00000134954,ENSG00000134460,1,weinstock
FOXK1,IL2RA,ENSG00000164916,ENSG00000134460,-1,weinstock
FOXP1,IL2RA,ENSG00000114861,ENSG00000134460,1,weinstock
GATA3,IL2RA,ENSG00000107485,ENSG00000134460,1,weinstock
IRF4,IL2RA,ENSG00000137265,ENSG00000134460,1,weinstock
JAK3,IL2RA,ENSG00000105639,ENSG00000134460,1,weinstock
KLF2,IL2RA,ENSG00000127528,ENSG00000134460,-1,weinstock
KMT2A,IL2RA,ENSG00000118058,ENSG00000134460,1,weinstock
PTEN,IL2RA,ENSG00000171862,ENSG00000134460,1,weinstock
STAT5A,IL2RA,ENSG00000126561,ENSG00000134460,1,weinstock
STAT5B,IL2RA,ENSG00000173757,ENSG00000134460,1,weinstock
TNFAIP3,IL2RA,ENSG00000118503,ENSG00000134460,-1,weinstock
CBFB,IRF1,ENSG00000067955,ENSG00000125347,-1,weinstock
ETS1,IRF1,ENSG00000134954,ENSG00000125347,1,weinstock
IRF4,IRF1,ENSG00000137265,ENSG00000125347,-1,weinstock
KLF2,IRF1,ENSG00000127528,ENSG00000125347,1,weinstock
MYB,IRF1,ENSG00000118513,ENSG00000125347,1,weinstock
STAT1,IRF1,ENSG00000115415,ENSG00000125347,1,weinstock
KLF2,IRF4,ENSG00000127528,ENSG00000137265,-1,weinstock
KMT2A,IRF4,ENSG00000118058,ENSG00000137265,1,weinstock
STAT5B,IRF4,ENSG00000173757,ENSG00000137265,1,weinstock
CBFB,IRF8,ENSG00000067955,ENSG00000140968,-1,weinstock
MED12,IRF8,ENSG00000184634,ENSG00000140968,-1,weinstock
CBFB,KLF2,ENSG00000067955,ENSG00000127528,1,weinstock
IRF4,KLF2,ENSG00000137265,ENSG00000127528,1,weinstock
KMT2A,KLF2,ENSG00000118058,ENSG00000127528,-1,weinstock
MED12,KLF2,ENSG00000184634,ENSG00000127528,1,weinstock
MYB,KLF2,ENSG00000118513,ENSG00000127528,1,weinstock
NFKB2,KLF2,ENSG00000077150,ENSG00000127528,1,weinstock
PTEN,KLF2,ENSG00000171862,ENSG00000127528,1,weinstock
TNFAIP3,KLF2,ENSG00000118503,ENSG00000127528,1,weinstock
ATXN7L3,MYB,ENSG00000087152,ENSG00000118513,-1,weinstock
FOXK1,MYB,ENSG00000164916,ENSG00000118513,-1,weinstock
IRF4,MYB,ENSG00000137265,ENSG00000118513,1,weinstock
KLF2,MYB,ENSG00000127528,ENSG00000118513,-1,weinstock
KMT2A,MYB,ENSG00000118058,ENSG00000118513,1,weinstock
NFKB2,MYB,ENSG00000077150,ENSG00000118513,-1,weinstock
TNFAIP3,MYB,ENSG00000118503,ENSG00000118513,-1,weinstock
ZNF217,MYB,ENSG00000171940,ENSG00000118513,-1,weinstock
NFKB2,NFE2L3,ENSG00000077150,ENSG00000050344,-1,weinstock
TNFAIP3,NFE2L3,ENSG00000118503,ENSG00000050344,-1,weinstock
IRF4,REL,ENSG00000137265,ENSG00000162924,-1,weinstock
IRF4,RORC,ENSG00000137265,ENSG00000143365,1,weinstock
KLF2,RORC,ENSG00000127528,ENSG00000143365,1,weinstock
TNFAIP3,RORC,ENSG00000118503,ENSG00000143365,1,weinstock
CBFB,STAT2,ENSG00000067955,ENSG00000170581,-1,weinstock
TNFAIP3,STAT2,ENSG00000118503,ENSG00000170581,-1,weinstock
ETS1,STAT5A,ENSG00000134954,ENSG00000126561,1,weinstock
KMT2A,STAT5A,ENSG00000118058,ENSG00000126561,1,weinstock
ETS1,TBX21,ENSG00000134954,ENSG00000073861,-1,weinstock
KLF2,TBX21,ENSG00000127528,ENSG00000073861,1,weinstock
TNFAIP3,TBX21,ENSG00000118503,ENSG00000073861,1,weinstock
ETS1,TNFAIP3,ENSG00000134954,ENSG00000118503,-1,weinstock
IRF4,TNFAIP3,ENSG00000137265,ENSG00000118503,1,weinstock
ATXN7L3,YBX3,ENSG00000087152,ENSG00000060138,-1,weinstock
CBFB,YBX3,ENSG00000067955,ENSG00000060138,-1,weinstock
FOXK1,YBX3,ENSG00000164916,ENSG00000060138,-1,weinstock
IRF4,YBX3,ENSG00000137265,ENSG00000060138,1,weinstock
KMT2A,YBX3,ENSG00000118058,ENSG00000060138,1,weinstock
TNFAIP3,YBX3,ENSG00000118503,ENSG00000060138,-1,weinstock
STAT5B,IFI44L,ENSG00000173757,ENSG00000137959,1,freimer
STAT5B,IL2RA,ENSG00000173757,ENSG00000134460,-1,freimer
STAT5B,XAF1,ENSG00000173757,ENSG00000132530,1,freimer
STAT5B,MX1,ENSG00000173757,ENSG00000157601,1,freimer
STAT5B,EPSTI1,ENSG00000173757,ENSG00000133106,1,freimer
STAT5B,GZMA,ENSG00000173757,ENSG00000145649,1,freimer
STAT5B,DDX60,ENSG00000173757,ENSG00000137628,1,freimer
STAT5B,IFI6,ENSG00000173757,ENSG00000126709,1,freimer
STAT5B,GBP1,ENSG00000173757,ENSG00000117228,1,freimer
STAT5B,RSAD2,ENSG00000173757,ENSG00000134321,1,freimer
STAT5B,CCR1,ENSG00000173757,ENSG00000163823,1,freimer
STAT5B,OAS3,ENSG00000173757,ENSG00000111331,1,freimer
STAT5B,IFI44,ENSG00000173757,ENSG00000137965,1,freimer
STAT5B,IFI27,ENSG00000173757,ENSG00000165949,1,freimer
STAT5B,CMPK2,ENSG00000173757,ENSG00000134326,1,freimer
STAT5B,IFIT3,ENSG00000173757,ENSG00000119917,1,freimer
STAT5B,ITGA1,ENSG00000173757,ENSG00000213949,1,freimer
STAT5B,PARP9,ENSG00000173757,ENSG00000138496,1,freimer
STAT5B,DTX3L,ENSG00000173757,ENSG00000163840,1,freimer
STAT5B,OAS1,ENSG00000173757,ENSG00000089127,1,freimer
STAT5B,ZFP36L1,ENSG00000173757,ENSG00000185650,1,freimer
STAT5B,OSM,ENSG00000173757,ENSG00000099985,-1,freimer
STAT5B,CEBPD,ENSG00000173757,ENSG00000221869,1,freimer
STAT5B,DDX60L,ENSG00000173757,ENSG00000181381,1,freimer
STAT5B,MT2A,ENSG00000173757,ENSG00000125148,1,freimer
STAT5B,CTSH,ENSG00000173757,ENSG00000103811,-1,freimer
STAT5B,LTA,ENSG00000173757,ENSG00000226979,-1,freimer
STAT5B,CXCR6,ENSG00000173757,ENSG00000172215,1,freimer
STAT5B,ISG15,ENSG00000173757,ENSG00000187608,1,freimer
STAT5B,GIMAP4,ENSG00000173757,ENSG00000133574,1,freimer
STAT5B,MX2,ENSG00000173757,ENSG00000183486,1,freimer
